cellIndex,x,y,z,vol,P,S,material
381,3.528874795,0.0,8.5,15.78260433,6.5,1.0,6
382,4.320523837,0.0,8.5,23.65805192,6.5,1.0,6
383,5.289767224,0.0,8.5,35.46331193,6.5,1.0,6
384,6.476445528,0.0,8.5,53.15934285,6.5,1.0,6
385,7.929336944,0.0,8.5,79.6856125,6.5,1.0,6
386,9.70816231,0.0,8.5,119.4483697,6.5,1.0,6
387,11.88603992,0.0,8.5,179.0525615,6.5,1.0,6
388,14.55249103,0.0,8.5,268.3989731,6.5,1.0,6
389,17.81711963,0.0,8.5,402.3288366,6.5,1.0,6
390,21.81411768,0.0,8.5,603.0890912,6.5,1.0,6
391,26.70778107,0.0,8.5,904.0277973,6.5,1.0,6
392,32.69926292,0.0,8.5,1355.133545,6.5,1.0,6
393,40.03484202,0.0,8.5,2031.339004,6.5,1.0,6
394,49.016046,0.0,8.5,3044.967903,6.5,1.0,6
395,60.01204561,0.0,8.5,4564.393,6.5,1.0,6
396,73.47482941,0.0,8.5,6842.004292,6.5,1.0,6
397,89.95778268,0.0,8.5,10256.13323,6.5,1.0,6
398,110.1384342,0.0,8.5,15373.89694,6.5,1.0,6
399,134.846306,0.0,8.5,23045.4014,6.5,1.0,6
400,165.0970106,0.0,8.5,34544.95159,6.5,1.0,6
401,202.1339977,0.0,8.5,51782.7249,6.5,1.0,6
402,247.4796659,0.0,8.5,77622.06846,6.5,1.0,6
403,302.9979407,0.0,8.5,116355.1266,6.5,1.0,6
404,370.9708906,0.0,8.5,174415.8042,6.5,1.0,6
405,454.1925313,0.0,8.5,261448.495,6.5,1.0,6
406,0.057038782,0.0,9.5,0.004473552,5.5,1.0,3
407,0.071054976,0.0,9.5,0.006942262,5.5,1.0,3
408,0.088515382,0.0,9.5,0.010773318,5.5,1.0,3
409,0.11026635,0.0,9.5,0.016718526,5.5,1.0,3
410,0.137362204,0.0,9.5,0.02594457,5.5,1.0,3
411,0.169486032,0.0,9.5,0.036406086,5.5,1.0,6
412,0.207507629,0.0,9.5,0.054572558,5.5,1.0,6
413,0.25405879,0.0,9.5,0.081804015,5.5,1.0,6
414,0.31105299,0.0,9.5,0.122623845,5.5,1.0,6
415,0.380832967,0.0,9.5,0.183812585,5.5,1.0,6
416,0.466267014,0.0,9.5,0.275534226,5.5,1.0,6
417,0.570866881,0.0,9.5,0.413024548,5.5,1.0,6
418,0.698932127,0.0,9.5,0.619121914,5.5,1.0,6
419,0.855726851,0.0,9.5,0.928060926,5.5,1.0,6
420,1.047696071,0.0,9.5,1.391159096,5.5,1.0,6
421,1.282730647,0.0,9.5,2.08534114,5.5,1.0,6
422,1.570491632,0.0,9.5,3.125916859,5.5,1.0,6
423,1.922807389,0.0,9.5,4.685735115,5.5,1.0,6
424,2.354159794,0.0,9.5,7.023895569,5.5,1.0,6
425,2.882279507,0.0,9.5,10.52878742,5.5,1.0,6
426,3.528874795,0.0,9.5,15.78260433,5.5,1.0,6
427,4.320523837,0.0,9.5,23.65805192,5.5,1.0,6
428,5.289767224,0.0,9.5,35.46331193,5.5,1.0,6
429,6.476445528,0.0,9.5,53.15934285,5.5,1.0,6
430,7.929336944,0.0,9.5,79.6856125,5.5,1.0,6
431,9.70816231,0.0,9.5,119.4483697,5.5,1.0,6
432,11.88603992,0.0,9.5,179.0525615,5.5,1.0,6
433,14.55249103,0.0,9.5,268.3989731,5.5,1.0,6
