cellIndex,x,y,z,vol,b,h0,material
458,71.49391967,0,7.375,2797.955395,0,20,3
459,80.31083817,0,7.375,3530.619274,0,20,3
460,90.21509463,0,7.375,4455.136232,0,20,3
461,101.3407839,0,7.375,5621.74432,0,20,3
462,113.8385381,0,7.375,7093.836765,0,20,3
463,127.8775657,0,7.375,8951.406749,0,20,3
464,143.6479429,0,7.375,11295.39422,0,20,3
465,161.3631865,0,7.375,14253.17094,0,20,3
466,181.2631455,0,7.375,17985.46186,0,20,3
467,203.6172476,0,7.375,22695.07884,0,20,3
468,228.7281477,0,7.375,28637.94145,0,20,3
469,256.9358254,0,7.375,36136.98353,0,20,3
470,288.6221876,0,7.375,45599.70141,0,20,3
471,324.2162398,0,7.375,57540.29709,0,20,3
472,364.199894,0,7.375,72607.61993,0,20,3
473,409.1144937,0,7.375,91620.42497,0,20,3
474,459.5681431,0,7.375,115611.8639,0,20,3
475,516.2439399,0,7.375,145885.6262,0,20,3
476,579.9092246,0,7.375,184086.7816,0,20,3
477,651.4259689,0,7.375,232291.1724,0,20,3
478,731.7624466,0,7.375,293118.2148,0,20,3
479,822.0063426,0,7.375,369873.2369,0,20,3
480,923.37948,0,7.375,466727.0898,0,20,3
481,1037.254361,0,7.375,588942.7908,0,20,3
482,1165.172752,0,7.375,743161.5143,0,20,3
483,1308.866555,0,7.375,937763.472,0,20,3
484,1470.281258,0,7.375,1183323.292,0,20,3
485,1651.602272,0,7.375,1493184.641,0,20,3
486,1855.284525,0,7.375,1884185.317,0,20,3
487,2084.085695,0,7.375,2377572.211,0,20,3
488,2341.103548,0,7.375,3000155.859,0,20,3
489,2629.817879,0,7.375,3785767.321,0,20,3
490,2954.137626,0,7.375,4777096.552,0,20,3
491,3318.453792,0,7.375,6028012.165,0,20,3
492,3727.698897,0,7.375,7606488.641,0,20,3
493,4187.413759,0,7.375,9598300.048,0,20,3
494,4703.822511,0,7.375,12111680.98,0,20,3
495,5283.916873,0,7.375,15283208.01,0,20,3
496,5935.550812,0,7.375,19285221.22,0,20,3
497,6667.546876,0,7.375,24335189.14,0,20,3
498,7489.815647,0,7.375,30707525.92,0,20,3
499,8413.489919,0,7.375,38748502.95,0,20,3
500,9451.075427,0,7.375,48895065.15,0,20,3
501,0,0,8.125,0.023561945,0.75,20,1
502,0.106166202,0,8.125,0.006169857,0,20,3
503,0.119259046,0,8.125,0.007785477,0,20,3
504,0.133966552,0,8.125,0.009824158,0,20,3
505,0.150487848,0,8.125,0.012396681,0,20,3
506,0.169046616,0,8.125,0.015642838,0,20,3
507,0.189894127,0,8.125,0.019739022,0,20,3
508,0.213312636,0,8.125,0.024907821,0,20,3
509,0.239619211,0,8.125,0.031430105,0,20,3
510,0.269170018,0,8.125,0.039660295,0,20,3
511,0.30236515,0,8.125,0.050045616,0,20,3
512,0.33965404,0,8.125,0.063150405,0,20,3
513,0.381541546,0,8.125,0.079686773,0,20,3
514,0.428594788,0,8.125,0.100553303,0,20,3
515,0.481450826,0,8.125,0.126883878,0,20,3
516,0.540825284,0,8.125,0.160109295,0,20,3
517,0.607522039,0,8.125,0.202035016,0,20,3
518,0.682444107,0,8.125,0.254939275,0,20,3
519,0.766605866,0,8.125,0.321696879,0,20,3
520,0.861146793,0,8.125,0.405935421,0,20,3
521,0.967346889,0,8.125,0.512232405,0,20,3
522,1.086644009,0,8.125,0.646363986,0,20,3
523,1.22065333,0,8.125,0.815618844,0,20,3
524,1.371189222,0,8.125,1.029194253,0,20,3
525,1.540289807,0,8.125,1.298695852,0,20,3
526,1.730244557,0,8.125,1.6387683,0,20,3
527,1.943625294,0,8.125,2.067891059,0,20,3
528,2.183321004,0,8.125,2.609382566,0,20,3
529,2.452576956,0,8.125,3.292667352,0,20,3
530,2.755038637,0,8.125,4.154874961,0,20,3
531,3.094801113,0,8.125,5.242857568,0,20,3
532,3.476464467,0,8.125,6.615735909,0,20,3
533,3.905196086,0,8.125,8.348111894,0,20,3
534,4.386800617,0,8.125,10.53412245,0,20,3
